City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
142,Port Hedland,AU,1666741156,-20.3167,118.5667,73.45,46,0,8.05
143,Mehamn,NO,1666741157,71.0357,27.8492,33.75,86,75,14.97
144,Andapa,MG,1666741157,-14.65,49.65,61.88,99,72,1.14
145,São José da Coroa Grande,BR,1666741158,-8.8978,-35.1478,77.07,81,55,11.97
146,Saint-Philippe,RE,1666741158,-21.3585,55.7679,69.39,78,38,12.97
147,Hays,US,1666741052,30.0502,-98.0336,73.31,29,0,1.99
148,Isangel,VU,1666741159,-19.55,169.2667,80.71,78,75,6.91
149,Sovetskiy,RU,1666741159,61.3614,63.5842,26.37,89,52,4.54
150,Nsanje,MW,1666741159,-16.92,35.262,77.49,56,2,3.76
151,Ipirá,BR,1666741160,-12.1583,-39.7372,71.53,87,93,10.67
152,Saskylakh,RU,1666741160,71.9167,114.0833,-7.22,100,68,3.96
153,Prince Rupert,CA,1666740874,54.3161,-130.3201,47.89,91,100,8.05
154,Butaritari,KI,1666741161,3.0707,172.7902,81.72,75,68,3.94
155,Luorong,CN,1666741161,24.4058,109.6086,74.1,70,43,3.87
156,Borazjan,IR,1666741161,29.2666,51.2159,77.61,47,3,1.07
157,East London,ZA,1666741162,-33.0153,27.9116,63.61,69,100,9.55
158,Southbridge,US,1666740929,42.0751,-72.0334,66.38,98,95,1.99
159,Kingsport,US,1666741162,36.5484,-82.5618,71.46,42,75,5.75
160,Russell,US,1666741162,32.3502,-85.1999,72.68,94,75,0.0
161,Octeville,FR,1666741163,49.6261,-1.6435,57.69,88,0,10.36
162,Rūdsar,IR,1666741163,37.1376,50.288,62.1,86,45,3.89
163,Kodino,RU,1666741163,63.7198,39.6447,28.35,94,29,4.34
164,Bandarbeyla,SO,1666741164,9.4942,50.8122,76.59,79,32,3.38
165,Lebu,CL,1666741164,-37.6167,-73.65,54.5,95,88,9.01
166,Muisne,EC,1666741164,0.6,-80.0333,74.8,82,100,9.82
167,Mudgee,AU,1666741165,-32.5943,149.5871,69.78,66,38,12.35
168,Zyryanka,RU,1666741165,65.75,150.85,14.63,92,97,9.51
169,Yar-Sale,RU,1666741165,66.8333,70.8333,19.02,95,97,7.87
170,Leland,US,1666741119,34.2563,-78.0447,64.96,90,0,5.75
171,Whitehorse,CA,1666740973,60.7161,-135.0538,20.17,68,20,3.44
172,Jaciara,BR,1666741147,-15.9653,-54.9683,77.68,68,70,4.43
173,Bada,RU,1666741166,51.392,109.8717,20.57,66,4,3.85
174,Antofagasta,CL,1666741166,-23.65,-70.4,60.08,82,17,8.5
175,Provideniya,RU,1666741167,64.3833,-173.3,28.51,59,100,15.99
176,Saint Paul Harbor,US,1666741167,57.79,-152.4072,45.91,76,75,0.0
177,Yei,SS,1666741167,4.095,30.6779,66.24,92,66,1.25
178,Nome,US,1666741103,64.5011,-165.4064,30.27,65,75,26.46
179,Kalianget,ID,1666741168,-7.05,113.9333,78.98,85,100,3.47
180,Havre-St-Pierre,CA,1666741168,50.2334,-63.5986,48.56,100,100,0.0
181,Kamenka,RU,1666741168,51.3223,42.7678,33.93,69,34,6.58
182,Hamilton,US,1666740960,39.1834,-84.5333,74.41,53,40,12.66
183,Port-Gentil,GA,1666741169,-0.7193,8.7815,78.76,94,40,10.36
184,Mingora,PK,1666741169,34.7758,72.3625,58.73,46,0,5.77
185,Cooma,AU,1666741170,-36.2333,149.1333,64.09,61,48,13.06
186,Tres Arroyos,AR,1666741170,-38.3739,-60.2798,61.54,86,100,2.19
187,Dicabisagan,PH,1666741170,17.0818,122.4157,76.89,85,100,12.37
188,Pangnirtung,CA,1666741171,66.1451,-65.7125,20.46,75,100,8.34
189,Maceió,BR,1666741171,-9.6658,-35.7353,76.44,88,0,9.22
190,Ribeira Grande,PT,1666741171,38.5167,-28.7,61.77,69,88,5.01
191,Batagay,RU,1666741171,67.6333,134.6333,13.66,90,100,2.84
192,Samagaltay,RU,1666741172,50.6022,95.0047,18.52,36,0,1.83
193,Itapetininga,BR,1666741172,-23.5917,-48.0531,60.15,90,2,11.68
194,Aleksandrovsk-Sakhalinskiy,RU,1666741173,50.8975,142.1561,45.57,65,41,15.14
195,Yokadouma,CM,1666741173,3.5167,15.05,68.58,99,77,1.21
196,Daru,PG,1666741173,-9.0763,143.2092,86.22,61,97,6.29
197,Fortuna,US,1666741173,40.5982,-124.1573,59.94,73,0,9.22
198,Torbay,CA,1666741174,47.6666,-52.7314,54.75,85,20,12.66
199,Narsaq,GL,1666741174,60.9167,-46.05,26.82,71,0,7.81
200,Nueve de Julio,AR,1666741174,-35.4444,-60.8831,68.97,74,100,5.99
201,Ponta do Sol,PT,1666741175,32.6667,-17.1,73.0,90,53,5.86
202,Castro,BR,1666741129,-24.7911,-50.0119,59.0,95,0,7.54
203,Nizhneudinsk,RU,1666741175,54.9076,99.0276,26.78,52,2,3.83
204,Bengkulu,ID,1666741176,-3.8004,102.2655,74.34,92,100,6.2
205,Morondava,MG,1666741176,-20.2833,44.2833,74.64,85,60,7.14
206,Bathsheba,BB,1666741176,13.2167,-59.5167,83.01,83,40,20.71
207,Honiara,SB,1666741177,-9.4333,159.95,86.61,66,17,5.03
208,Margate,GB,1666741177,51.3813,1.3862,61.3,86,100,3.0
209,Kānkon,IN,1666741177,15.0167,74.0167,73.2,68,5,4.59
