City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
130,Teknāf,BD,1666735594,20.8624,92.3058,73.13,92,49,4.61
131,Otukpo,NG,1666735594,7.1913,8.1329,74.14,96,100,5.59
132,Sola,VU,1666735594,-13.8833,167.55,79.21,76,7,1.07
133,Leningradskiy,RU,1666735595,69.3833,178.4167,2.71,89,59,5.03
134,Bathsheba,BB,1666735596,13.2167,-59.5167,81.21,83,40,18.41
135,Tromsø,NO,1666735502,69.6496,18.957,32.38,80,0,2.3
136,Yerbogachën,RU,1666735596,61.2767,108.0108,27.59,93,100,10.07
137,São Filipe,CV,1666735596,14.8961,-24.4956,78.64,79,84,7.31
138,Sisophon,KH,1666735597,13.5859,102.9737,73.13,91,80,5.01
139,Yellowknife,CA,1666735597,62.456,-114.3525,21.72,93,75,11.5
140,Kilgore,US,1666735597,32.3863,-94.8758,68.63,34,0,13.8
141,Panabá,MX,1666735598,21.2833,-88.2667,84.02,62,99,7.38
142,La Paz,BO,1666735511,-16.5,-68.15,60.78,35,20,10.36
143,Husavik,IS,1666735598,66.0449,-17.3389,35.53,87,100,7.0
144,Basco,PH,1666735598,20.4487,121.9702,78.01,66,99,24.96
145,Port-Cartier,CA,1666735599,50.0334,-66.8654,47.75,90,98,2.66
146,Trelew,AR,1666735457,-43.249,-65.3051,65.05,32,100,17.98
147,San Andrés,CO,1666735599,12.5847,-81.7006,86.02,70,75,4.61
148,Samaná,DO,1666735599,19.2056,-69.3369,76.96,86,100,7.07
149,Butaritari,KI,1666735125,3.0707,172.7902,81.21,76,57,3.38
150,Cherskiy,RU,1666735538,68.75,161.3,-5.1,93,52,7.07
151,Dingle,PH,1666735600,10.9995,122.6711,75.97,93,100,5.75
152,Port Macquarie,AU,1666735600,-31.4333,152.9167,74.89,62,8,5.53
153,Tautira,PF,1666735601,-17.7333,-149.15,77.97,84,100,25.86
154,Hofn,IS,1666735601,64.2539,-15.2082,42.12,84,100,17.85
155,Kiryat Gat,IL,1666735601,31.61,34.7642,77.68,40,0,6.31
156,Shellbrook,CA,1666735602,53.2168,-106.4011,36.63,50,93,2.68
157,Avarua,CK,1666735602,-21.2078,-159.775,77.05,57,100,4.61
158,Dikson,RU,1666735602,73.5069,80.5464,22.84,85,99,1.88
159,Tahoua,NE,1666735603,14.8888,5.2692,83.23,22,66,8.66
160,Acapulco de Juárez,MX,1666735368,16.8634,-99.8901,83.41,81,61,8.79
161,Karumbākkam,IN,1666735603,12.6992,80.0933,76.78,71,0,4.65
162,Puerto Escondido,MX,1666735335,15.85,-97.0667,82.51,84,54,8.7
163,Vostok,RU,1666735604,46.4856,135.8833,28.87,52,9,4.65
164,Grindavik,IS,1666735604,63.8424,-22.4338,45.07,81,99,9.22
165,Gogrial,SS,1666735604,8.5332,28.1004,75.61,56,11,4.14
166,Kavieng,PG,1666735605,-2.5744,150.7967,83.77,74,100,6.08
167,Voss,NO,1666735605,60.623,6.4229,50.54,99,100,4.36
168,Kruisfontein,ZA,1666735605,-34.0033,24.7314,62.89,71,100,9.08
169,Umm Hājar,TD,1666735606,13.2954,19.6966,81.7,16,2,14.83
170,Manoharpur,IN,1666735606,27.3,75.95,70.21,32,0,2.84
171,Lázaro Cárdenas,MX,1666735606,17.9583,-102.2,83.44,76,28,10.45
172,Vīraganūr,IN,1666735606,11.4833,78.7333,71.62,71,7,2.95
173,Koubia,GN,1666735607,11.5833,-11.9,69.03,83,11,1.83
174,Toora-Khem,RU,1666735607,52.4675,96.11,15.49,66,4,2.37
175,Kermanshah,IR,1666735608,34.3142,47.065,57.79,50,28,1.7
176,Fairbanks,US,1666735608,64.8378,-147.7164,24.76,78,0,12.66
177,Morón,AR,1666735608,-34.6534,-58.6198,77.95,68,99,10.47
178,Bambous Virieux,MU,1666735609,-20.3428,57.7575,73.22,78,10,12.91
179,Isangel,VU,1666735609,-19.55,169.2667,76.53,77,100,14.07
180,Aykhal,RU,1666735609,66.0,111.5,13.1,96,48,12.95
181,Yangi Marg`ilon,UZ,1666735609,40.4272,71.7189,56.12,76,40,11.5
182,Nebbi,UG,1666735610,2.4783,31.0889,67.12,83,95,5.84
183,Mill Valley,US,1666735102,37.906,-122.545,77.04,73,45,1.99
184,Lichinga,MZ,1666735610,-13.3128,35.2406,69.39,44,76,6.29
185,Castro,BR,1666735611,-24.7911,-50.0119,63.12,84,0,4.74
186,Tuatapere,NZ,1666735611,-46.1333,167.6833,52.32,78,100,2.33
187,Panzhihua,CN,1666735611,26.5851,101.7128,65.23,92,82,1.23
188,Pevek,RU,1666735612,69.7008,170.3133,-0.27,93,10,5.41
189,Onguday,RU,1666735612,50.75,86.15,26.02,43,51,3.22
190,East London,ZA,1666735542,-33.0153,27.9116,64.36,69,100,10.67
191,Voh,NC,1666735612,-20.9667,164.7,79.9,71,49,1.39
192,Beringovskiy,RU,1666735613,63.05,179.3167,20.97,78,97,10.94
193,Mahébourg,MU,1666735613,-20.4081,57.7,73.26,79,5,12.71
194,Skjervøy,NO,1666735613,70.0311,20.9714,30.2,59,100,4.21
195,Sar-e Pul,AF,1666735614,35.8333,66.1667,46.81,85,100,1.83
196,Biak,ID,1666735614,-0.9131,122.8766,77.68,81,99,2.42
197,Garissa,KE,1666735614,-0.4536,39.6401,76.89,76,95,15.7
198,Ribeira Grande,PT,1666735615,38.5167,-28.7,61.77,74,85,3.0
199,Beohāri,IN,1666735615,24.05,81.3833,61.36,69,0,5.01
200,Airai,TL,1666735615,-8.9266,125.4092,62.96,88,100,1.1
201,Pochutla,MX,1666735616,15.7432,-96.4661,86.83,84,80,6.58
202,Kuito,AO,1666735616,-12.3833,16.9333,63.59,84,97,4.38
203,Atikokan,CA,1666735616,48.7555,-91.6216,37.11,65,100,10.4
204,College,US,1666735617,64.8569,-147.8028,24.75,78,20,12.66
205,Phuket,TH,1666735617,8.0,98.25,85.12,93,20,1.14
206,Dryden,CA,1666735617,49.7833,-92.7503,34.09,80,100,16.11
207,Port Elizabeth,ZA,1666735404,-33.918,25.5701,65.1,83,97,10.54
208,Tigil',RU,1666735618,57.8,158.6667,32.07,82,100,21.43
209,Sept-Îles,CA,1666735618,50.2001,-66.3821,48.06,93,99,1.45
210,Copala,MX,1666735618,16.65,-98.9833,82.06,83,79,7.43
211,Manavālakurichi,IN,1666735619,8.1333,77.3,77.52,87,42,6.64
212,Pangai,TO,1666735619,-19.8,-174.35,73.27,63,100,15.14
213,Ulagan,RU,1666735619,50.6321,87.9563,23.77,53,56,2.82
214,Solnechnyy,RU,1666735620,50.7214,136.6319,32.49,67,46,4.23
215,Promyshlennyy,RU,1666735620,67.5833,63.9167,11.61,97,97,3.76
216,Volot,RU,1666735404,57.9278,30.7025,43.43,96,100,8.25
217,Irbeyskoye,RU,1666735620,55.6428,95.4522,28.85,58,7,3.31
218,Khatanga,RU,1666735621,71.9667,102.5,3.42,98,88,6.31
219,La Ronge,CA,1666735621,55.1001,-105.2842,34.59,56,100,1.72
220,Champerico,GT,1666735622,14.3,-91.9167,90.14,75,44,7.78
221,Srednekolymsk,RU,1666735622,67.45,153.6833,10.35,95,100,10.42
222,Lüderitz,NA,1666735622,-26.6481,15.1594,63.97,61,100,15.01
223,Mount Isa,AU,1666735623,-20.7333,139.5,71.37,100,40,8.05
224,Sazonovo,RU,1666735623,59.0919,35.2268,31.96,85,55,7.23
225,Nishihara,JP,1666735624,26.1842,127.7558,72.68,60,75,11.5
226,Faanui,PF,1666735624,-16.4833,-151.75,79.59,77,99,24.38
227,Upernavik,GL,1666735540,72.7868,-56.1549,23.2,93,100,10.67
228,Atlantis,ZA,1666735625,-33.5667,18.4834,59.34,82,30,7.07
229,Bradford,GB,1666735335,53.7939,-1.7521,56.12,92,75,8.05
230,Comodoro Rivadavia,AR,1666735512,-45.8667,-67.5,57.06,54,75,18.41
231,Nanortalik,GL,1666735625,60.1432,-45.2371,33.67,76,1,4.79
232,Kärdla,EE,1666735626,58.9978,22.7492,51.06,94,93,8.5
233,Zhezkazgan,KZ,1666735626,47.8043,67.7144,39.78,58,100,8.23
234,Tuy Hoa,VN,1666735626,13.0833,109.3,75.9,93,100,4.12
235,Pierre,US,1666735627,44.3683,-100.351,58.12,38,0,19.57
236,Vestmannaeyjar,IS,1666735627,63.4427,-20.2734,44.91,86,100,20.49
237,Hamilton,US,1666735218,39.1834,-84.5333,75.99,52,100,3.0
238,Kloulklubed,PW,1666735628,7.0419,134.2556,84.11,78,100,21.41
239,Sherghāti,IN,1666735628,24.5667,84.7833,65.03,66,0,4.79
240,Orcopampa,PE,1666735629,-15.2661,-72.3417,53.73,19,3,14.25
241,Pisco,PE,1666735629,-13.7,-76.2167,64.45,72,0,19.57
242,Praia,CV,1666735630,14.9215,-23.5087,78.62,77,80,9.62
243,Kamenka,RU,1666735630,51.3223,42.7678,34.93,66,29,4.97
244,Lorengau,PG,1666735631,-2.0226,147.2712,84.07,67,100,4.61
245,Surin,TH,1666735631,14.8818,103.4936,70.56,94,89,6.06
246,Bela Vista de Goiás,BR,1666735631,-16.9728,-48.9533,83.55,31,34,1.25
247,Hambantota,LK,1666735632,6.1241,81.1185,77.34,100,100,2.3
248,Pervomayskoye,RU,1666735632,43.919,46.7102,46.35,62,3,3.36
249,Davenda,RU,1666735633,53.5556,119.317,18.46,83,12,3.36
250,Severo-Kuril'sk,RU,1666735633,50.6789,156.125,39.07,65,3,5.97
251,Oyama,JP,1666735634,36.3,139.8,55.58,53,28,9.66
252,Chornukhy,UA,1666735634,50.2673,32.942,53.35,99,100,6.89
253,Eenhana,NA,1666735635,-17.4667,16.3333,76.73,47,69,6.15
254,Mitzic,GA,1666735635,0.7821,11.549,68.81,98,97,2.08
255,Bengkulu,ID,1666735635,-3.8004,102.2655,73.99,93,100,5.21
256,Thompson,CA,1666735636,55.7435,-97.8558,26.08,96,100,9.22
257,Cockburn Town,TC,1666735636,21.4612,-71.1419,80.19,71,100,3.13
258,Ahipara,NZ,1666735637,-35.1667,173.1667,64.9,57,42,8.99
259,Mar del Plata,AR,1666735535,-38.0023,-57.5575,69.1,86,0,15.99
260,Juneau,US,1666735590,58.3019,-134.4197,40.21,81,75,0.0
261,Muisne,EC,1666735638,0.6,-80.0333,75.6,80,100,10.51
262,Chui,UY,1666735638,-33.6971,-53.4616,60.48,80,12,11.9
263,Malmesbury,ZA,1666735639,-33.4608,18.7271,59.77,89,24,5.99
264,Kouqian,CN,1666735640,43.6391,126.4578,40.89,70,100,7.56
265,Santa Cruz de Barahona,DO,1666735640,18.2085,-71.1008,76.82,94,40,7.9
266,San Policarpo,PH,1666735641,12.1791,125.5072,81.1,86,100,15.03
267,Russell,US,1666735641,32.3502,-85.1999,73.0,94,75,3.44
268,Brae,GB,1666735642,60.3964,-1.353,51.71,88,100,8.99
269,Nizwá,OM,1666735642,22.9333,57.5333,73.96,35,0,3.06
270,Bakaly,RU,1666735643,55.1789,53.8028,30.2,92,81,7.96
271,Oranjestad,AW,1666735643,12.524,-70.027,84.15,85,20,10.36
272,Port Hardy,CA,1666735644,50.6996,-127.4199,46.58,93,75,4.61
273,Esperance,AU,1666735644,-33.8667,121.9,56.98,76,22,8.39
274,Souillac,MU,1666735644,-20.5167,57.5167,70.99,82,4,10.38
275,Aktau,KZ,1666735580,43.65,51.2,50.58,67,100,12.17
276,Tiksi,RU,1666735645,71.6872,128.8694,18.41,91,100,12.75
277,Altagracia de Orituco,VE,1666735645,9.8601,-66.3814,77.31,84,97,0.87
278,Novy Urengoy,RU,1666735645,66.0833,76.6333,21.54,92,100,15.9
279,Irtyshskiy,RU,1666735646,58.3333,68.1333,28.58,88,86,3.8
280,Haradok,BY,1666735646,55.4624,29.9816,46.51,95,100,5.46
281,Moindou,NC,1666735646,-21.6924,165.677,79.09,66,64,5.19
282,Avera,US,1666735647,33.194,-82.5271,74.71,45,98,6.29
283,Novooleksiyivka,UA,1666735647,46.2269,34.6428,57.15,76,100,7.25
284,São Sebastião,BR,1666735482,-23.76,-45.4097,69.3,86,76,4.85
285,Codrington,AU,1666735648,-38.2667,141.9667,57.87,96,99,10.38
286,Nhulunbuy,AU,1666735648,-12.2333,136.7667,83.01,78,28,8.05
287,Eureka,US,1666735413,40.8021,-124.1637,63.75,85,48,5.01
288,Vardø,NO,1666735649,70.3705,31.1107,31.98,80,100,20.71
289,Bowen,AU,1666735649,-20.0167,148.2333,81.5,79,53,3.4
290,Chumikan,RU,1666735649,54.7183,135.315,34.25,87,100,4.41
291,Saint Anthony,US,1666735650,45.0205,-93.218,51.89,58,0,11.5
292,Bocas del Toro,PA,1666735650,9.3333,-82.25,82.18,77,60,5.77
293,Margate,GB,1666735650,51.3813,1.3862,61.9,85,100,4.0
294,Maceió,BR,1666735420,-9.6658,-35.7353,78.24,83,0,12.66
295,Udalguri,IN,1666735651,26.7667,92.1333,68.92,99,100,2.08
296,Bellefontaine,US,1666735422,40.3612,-83.7597,72.61,48,20,11.5
297,Pangnirtung,CA,1666735652,66.1451,-65.7125,24.8,68,100,11.5
298,Van,TR,1666735652,38.4924,43.3831,40.35,87,20,3.44
299,Nacala,MZ,1666735652,-14.5428,40.6728,74.21,88,25,11.79
300,Beni Mazar,EG,1666735653,28.4962,30.8029,69.69,66,16,6.46
